Export for measurement 069c5e29-f78a-46f6-9dff-c92cb4f69371

Timestamp,Value,Flags
2019-11-24 15:20:36.000000,299880.4687500000,0
2019-11-24 15:20:36.000000,298876.4687500000,0
2019-11-24 15:20:36.000000,289464.3750000000,0
2019-11-24 15:20:36.000000,289645.4375000000,0
2019-11-24 15:20:36.000000,289644.1250000000,0
2019-11-24 15:20:36.000000,288603.6250000000,0
2019-11-24 15:20:36.000000,289024.9687500000,0
2019-11-24 15:20:36.000000,289169.3437500000,0
2019-11-24 15:20:36.000000,289769.9687500000,0
2019-11-24 15:20:36.000000,290020.6250000000,0
2019-11-24 15:20:36.000000,289578.0312500000,0
2019-11-24 15:20:36.000000,290333.9062500000,0
2019-11-24 15:20:36.000000,289495.0625000000,0
2019-11-24 15:20:36.000000,290269.2500000000,0
2019-11-24 15:20:36.033000,299797.9687500000,0
2019-11-24 15:20:36.033000,298792.6562500000,0
2019-11-24 15:20:36.033333,289494.4062500000,0
2019-11-24 15:20:36.033333,289632.8437500000,0
2019-11-24 15:20:36.033333,289634.2812500000,0
2019-11-24 15:20:36.033333,288702.1250000000,0
2019-11-24 15:20:36.033333,289088.8437500000,0
2019-11-24 15:20:36.033333,289234.2187500000,0
2019-11-24 15:20:36.033333,289804.1562500000,0
2019-11-24 15:20:36.033333,289977.9687500000,0
2019-11-24 15:20:36.033333,289611.3750000000,0
2019-11-24 15:20:36.033333,290198.6562500000,0
2019-11-24 15:20:36.033333,289527.0625000000,0
2019-11-24 15:20:36.033333,290142.6875000000,0
2019-11-24 15:20:36.066000,299792.5625000000,0
2019-11-24 15:20:36.066000,298799.7812500000,0
2019-11-24 15:20:36.066666,289381.2187500000,0
2019-11-24 15:20:36.066666,289533.3125000000,0
2019-11-24 15:20:36.066666,289545.5312500000,0
2019-11-24 15:20:36.066666,288629.6875000000,0
2019-11-24 15:20:36.066666,289029.4375000000,0
2019-11-24 15:20:36.066666,289141.6250000000,0
2019-11-24 15:20:36.066666,289601.0312500000,0
2019-11-24 15:20:36.066666,289914.2500000000,0
2019-11-24 15:20:36.066666,289432.5000000000,0
2019-11-24 15:20:36.066666,290138.4687500000,0
2019-11-24 15:20:36.066666,289396.8437500000,0
2019-11-24 15:20:36.066666,290099.2187500000,0
2019-11-24 15:20:36.100000,299751.8437500000,0
2019-11-24 15:20:36.100000,298744.4062500000,0
2019-11-24 15:20:36.100000,289343.9687500000,0
2019-11-24 15:20:36.100000,289493.9687500000,0
2019-11-24 15:20:36.100000,289525.4062500000,0
2019-11-24 15:20:36.100000,288599.9687500000,0
2019-11-24 15:20:36.100000,288953.9062500000,0
2019-11-24 15:20:36.100000,289091.2812500000,0
2019-11-24 15:20:36.100000,289612.0625000000,0
2019-11-24 15:20:36.100000,289820.9375000000,0
2019-11-24 15:20:36.100000,289445.1250000000,0
2019-11-24 15:20:36.100000,290083.1250000000,0
2019-11-24 15:20:36.100000,289382.4375000000,0
2019-11-24 15:20:36.100000,290103.2812500000,0
2019-11-24 15:20:36.133000,299702.7812500000,0
2019-11-24 15:20:36.133000,298707.6562500000,0
2019-11-24 15:20:36.133333,289392.3125000000,0
2019-11-24 15:20:36.133333,289562.5312500000,0
2019-11-24 15:20:36.133333,289596.2500000000,0
2019-11-24 15:20:36.133333,288650.5937500000,0
2019-11-24 15:20:36.133333,289037.5937500000,0
2019-11-24 15:20:36.133333,289172.3437500000,0
2019-11-24 15:20:36.133333,289658.1875000000,0
2019-11-24 15:20:36.133333,289869.3437500000,0
2019-11-24 15:20:36.133333,289464.2500000000,0
2019-11-24 15:20:36.133333,290186.2187500000,0
